title,description
Toy Story,"A cowboy doll feels replaced when a space action figure arrives."
Monsters Inc.,"Two monsters work at a scream-powered energy company."
Zootopia,"A rabbit police officer and a con-artist fox solve a crime mystery."
Big Hero 6,"A young robotics prodigy and his friends become superheroes."
Frozen,"A princess sets out to find her sister and save her kingdom."
Moana,"A young girl sets sail to save her island with the help of a demigod."
Encanto,"A magical family in Colombia faces a crisis in their enchanted home."
The Lion King,"A young lion prince must reclaim his throne from his uncle."
Aladdin,"A street rat finds a magic lamp and must stop an evil sorcerer."
Beauty and the Beast,"A cursed prince and a kind-hearted girl find love."
Mulan,"A young woman disguises herself as a man to fight in a war."

